season,team1,team2,result,winner
2011,Mumbai Indians,Kings XI Punjab,normal,Mumbai Indians
2011,Delhi Daredevils,Kochi Tuskers Kerala,normal,Kochi Tuskers Kerala
2011,Kolkata Knight Riders,Deccan Chargers,normal,Kolkata Knight Riders
2011,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2011,Mumbai Indians,Pune Warriors,normal,Mumbai Indians
2011,Kochi Tuskers Kerala,Kolkata Knight Riders,normal,Kochi Tuskers Kerala
2011,Deccan Chargers,Delhi Daredevils,normal,Delhi Daredevils
2011,Royal Challengers Bangalore,Kings XI Punjab,normal,Royal Challengers Bangalore
2011,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2011,Mumbai Indians,Delhi Daredevils,normal,Mumbai Indians
2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Kings XI Punjab,Pune Warriors,normal,Pune Warriors
2011,Chennai Super Kings,Rajasthan Royals,normal,Chennai Super Kings
2011,Deccan Chargers,Pune Warriors,normal,Pune Warriors
2011,Kings XI Punjab,Mumbai Indians,normal,Kings XI Punjab
2011,Rajasthan Royals,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2011,Kochi Tuskers Kerala,Kings XI Punjab,normal,Kings XI Punjab
2011,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Deccan Chargers,Mumbai Indians,normal,Deccan Chargers
2011,Kings XI Punjab,Delhi Daredevils,normal,Kings XI Punjab
2011,Rajasthan Royals,Kochi Tuskers Kerala,normal,Kochi Tuskers Kerala
2011,Pune Warriors,Deccan Chargers,normal,Deccan Chargers
2011,Kings XI Punjab,Royal Challengers Bangalore,normal,Kings XI Punjab
2011,Chennai Super Kings,Kochi Tuskers Kerala,normal,Chennai Super Kings
2011,Pune Warriors,Kolkata Knight Riders,normal,Kolkata Knight Riders
2011,Mumbai Indians,Rajasthan Royals,normal,Rajasthan Royals
2011,Deccan Chargers,Kings XI Punjab,normal,Deccan Chargers
2011,Delhi Daredevils,Pune Warriors,no result,
2011,Chennai Super Kings,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2011,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2011,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2011,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians
2011,Royal Challengers Bangalore,Mumbai Indians,normal,Royal Challengers Bangalore
2011,Chennai Super Kings,Royal Challengers Bangalore,normal,Chennai Super Kings
2012,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2012,Kolkata Knight Riders,Delhi Daredevils,normal,Delhi Daredevils
2012,Pune Warriors,Mumbai Indians,normal,Pune Warriors
2012,Rajasthan Royals,Kings XI Punjab,normal,Rajasthan Royals
2012,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore
2012,Chennai Super Kings,Deccan Chargers,normal,Chennai Super Kings
2012,Rajasthan Royals,Kolkata Knight Riders,normal,Rajasthan Royals
2012,Pune Warriors,Kings XI Punjab,normal,Pune Warriors
2012,Deccan Chargers,Mumbai Indians,normal,Mumbai Indians
2012,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2012,Chennai Super Kings,Delhi Daredevils,normal,Delhi Daredevils
2012,Mumbai Indians,Rajasthan Royals,normal,Mumbai Indians
2012,Royal Challengers Bangalore,Chennai Super Kings,normal,Chennai Super Kings
2012,Pune Warriors,Kings XI Punjab,normal,Kings XI Punjab
2012,Rajasthan Royals,Kolkata Knight Riders,normal,Kolkata Knight Riders
2012,Deccan Chargers,Delhi Daredevils,normal,Delhi Daredevils
2012,Chennai Super Kings,Pune Warriors,normal,Pune Warriors
2012,Kings XI Punjab,Kolkata Knight Riders,normal,Kings XI Punjab
2012,Rajasthan Royals,Royal Challengers Bangalore,normal,Rajasthan Royals
2012,Mumbai Indians,Delhi Daredevils,normal,Delhi Daredevils
2012,Deccan Chargers,Rajasthan Royals,normal,Rajasthan Royals
2012,Pune Warriors,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2012,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders
2012,Deccan Chargers,Delhi Daredevils,normal,Delhi Daredevils
2012,Chennai Super Kings,Pune Warriors,normal,Chennai Super Kings
2012,Kings XI Punjab,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2012,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2012,Pune Warriors,Delhi Daredevils,normal,Pune Warriors
2012,Mumbai Indians,Kings XI Punjab,normal,Kings XI Punjab
2012,Deccan Chargers,Kolkata Knight Riders,normal,Kolkata Knight Riders
2012,Royal Challengers Bangalore,Rajasthan Royals,normal,Royal Challengers Bangalore
2012,Pune Warriors,Delhi Daredevils,normal,Delhi Daredevils
2012,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians
2012,Deccan Chargers,Pune Warriors,normal,Deccan Chargers
2012,Delhi Daredevils,Mumbai Indians,normal,Delhi Daredevils
2012,Kings XI Punjab,Chennai Super Kings,normal,Kings XI Punjab
2012,Kolkata Knight Riders,Royal Challengers Bangalore,normal,Kolkata Knight Riders
2012,Delhi Daredevils,Rajasthan Royals,normal,Delhi Daredevils
2012,Deccan Chargers,Mumbai Indians,normal,Mumbai Indians
2012,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2012,Deccan Chargers,Pune Warriors,normal,Deccan Chargers
2012,Rajasthan Royals,Delhi Daredevils,normal,Delhi Daredevils
2012,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab
2012,Mumbai Indians,Pune Warriors,normal,Mumbai Indians
2012,Chennai Super Kings,Deccan Chargers,normal,Chennai Super Kings
2012,Kolkata Knight Riders,Pune Warriors,normal,Kolkata Knight Riders
